,,United Arab Emiratess exports to Egypt,,,Egypt's imports from world,,,,United Arab Emiratess exports to world,,,
Product code,Product label,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excl. meprobamate ...",0,99,,,2720,2285,2882,,2398,3703,676
200880,"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,6,,,0,191,74,,193,105,22
200921,"Grapefruit juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...",0,0,,,11,8,0,,80,158,2
200979,"Apple juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar or ...",0,0,,,769,3126,1586,,292,264,739
210111,"Extracts, essences and concentrates, of coffee",487,867,,,34010,32728,39225,,19528,41617,2909
210330,"Mustard flour and meal, whether or not prepared, and mustard",22,15,,,834,973,1761,,1443,1825,395
210420,"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ...",0,0,,,125,10,48,,1696,5518,1575
210500,"Ice cream and other edible ice, whether or not containing cocoa",184,227,,,959,890,759,,69576,73219,9588
210610,Protein concentrates and textured protein substances,927,1509,,,7681,6779,5359,,9687,13929,901
280120,Iodine,0,0,,,213,329,433,,11768,11092,18148
280421,Argon,24,0,,,178,328,4,,3680,3764,2984
280490,Selenium,0,0,,,242,359,367,,0,419,39
281000,Oxides of boron; boric acids,0,0,,,774,1604,2271,,85,70,1
281112,"Hydrogen cyanide ""hydrocyanic acid""",0,0,,,,,,,1,0,
281129,"Inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon ...",3,0,,,839,939,348,,1657,2173,1471
281520,"Potassium hydroxide ""caustic potash""",0,0,,,3281,2223,1854,,543,827,31
281700,Zinc oxide; zinc peroxide,0,0,,,12286,12173,15779,,284,1265,691
281810,"Corundum, artificial, whether or not chemically defined",0,0,,,1933,373,222,,187,76,38
281820,Aluminium oxide (excl. artificial corundum),0,1,,,15819,123388,85013,,1900,1718,45
281830,Aluminium hydroxide,0,0,,,2666,2192,2666,,111,3053,7182
282010,Manganese dioxide,0,0,,,685,1168,1083,,37,8,
282090,Manganese oxides (excl. manganese dioxide),249,626,,,306,422,353,,10182,11483,30
282510,Hydrazine and hydroxylamine and their inorganic salts,0,1,,,294,91,256,,343,107,6
282540,Nickel oxides and hydroxides,0,0,,,,,,,0,0,
282751,Bromides of sodium or of potassium,21,0,,,84,104,215,,6393,310,11
282759,"Bromides and bromide oxides (excl. of sodium, potassium and mercury)",0,0,,,40,4,107,,3453,450,984
283210,Sodium sulphites,22,3,,,2027,4112,6041,,802,979,1660
283539,"Polyphosphates, whether or not chemically defined (excl. sodium triphosphate ""sodium tripolyphosphate"", ...",12,25,,,4710,8029,8126,,534,1127,163
283719,Cyanides and cyanide oxides (excl. sodium and mercury),0,0,,,72,204,231,,0,6,
284150,Chromates and dichromates; peroxochromates (excl. sodium dichromate and inorganic or organic ...,0,0,,,13,0,0,,28,20,114
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excl. ...",0,0,,,1292,911,1195,,876,1153,54
284441,"Tritium and its compounds; alloys, dispersions incl. cermets, ceramic products and mixtures ...",0,0,,,,,,,0,0,
290129,"Hydrocarbons, acyclic, unsaturated (excl. ethylene, propene ""propylene"", butene ""butylene"" ...",0,0,,,6429,7660,15273,,941,1310,2749
290319,"Saturated chlorinated derivatives of acyclic hydrocarbons (excl. chloromethane [methyl chloride], ...",0,0,,,327,560,149,,80,25,69
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",59,42,,,2698,2277,2019,,3543,4670,503
350211,"Egg albumin, dried ""e.g. in sheets, scales, flakes, powder""",0,0,,,668,968,1217,,1,0,1
350290,"Albumins, albuminates and other albumin derivatives (excl. egg albumin and milk albumin [incl. ...",0,0,,,54,0,19,,24,96,17
350510,"Dextrins and other modified starches, e.g. pregelatinised or esterified starches",667,538,,,14867,15208,17680,,12355,11910,2979
350691,Adhesives based on polymers of headings 3901 to 3913 or on rubber (excl. put up for retail ...,839,1194,,,20483,21976,23754,,32533,30651,5481
360360,Electric detonators (excl. grenade detonators),0,0,,,,,,,0,0,
360500,Matches (excl. pyrotechnic articles of heading 3604),0,0,,,645,578,1244,,546,1613,167
370210,"Photographic film in rolls, unexposed, for X-ray (excl. of paper, paperboard or textiles)",2,0,,,599,277,1265,,812,1389,10
370242,"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, ...",0,0,,,0,1,0,,31,22,
370244,"Photographic film ""incl. instant print film""m, sensitised, in rolls, unexposed, without perforations, ...",0,0,,,107,272,121,,27,11,
370390,"Photographic paper, paperboard and textiles, sensitised, unexposed, for monochrome photography ...",0,0,,,120,90,219,,142,172,285
370400,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed",44,0,,,50,0,2,,501,312,638
370690,"Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting ...",0,0,,,,,,,0,2,
380590,Crude dipentene; sulphite turpentine and other crude para-cymene; terpenic oils produced by ...,0,0,,,3296,1386,1363,,667,960,1
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,4,,,46781,33744,33079,,6041,2120,1761
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",238,19,,,25809,16771,17066,,91586,31589,6287
380991,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",0,0,,,15469,22794,16705,,6287,8663,1256
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,34,211,,,2286,2284,3046,,10183,13592,8160
292421,Ureines and their derivatives; salts thereof,0,0,,,53,52,11,,17,10,85
292511,Saccharin and its salts,0,3,,,1503,761,925,,8,89,102
292620,"1-Cyanoguanidine ""dicyandiamide""",0,1,,,0,2,0,,3,1,
292690,"Nitrile-function compounds (excl. acrylonitrile, 1-cyanoguanidine ""dicyandiamide"", fenproporex ...",9,0,,,1574,1193,1262,,419,93,237
293030,"Thiuram mono-, di- or tetrasulphides",0,0,,,87,74,23,,0,37,
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",56,88,,,13876,12417,18841,,4782,16158,1656
293621,"Vitamins A and their derivatives, used primarily as vitamins",0,1,,,3223,3786,2668,,223,243,
293712,"Insulin and its salts, used primarily as hormones",0,0,,,13891,5028,14127,,1684,3954,3478
293961,"Ergometrine ""INN"" and its salts",0,0,,,756,376,420,,0,3,
293979,"Vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...",0,0,,,0,0,440,,0,354,614
293980,"Non-vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters ...",0,0,,,0,0,660,,0,0,1
300120,"Extracts of glands or other organs or of their secretions, for organo-therapeutic uses",0,0,,,0,16,1,,23,1,2
401011,"Conveyor belts or belting, of vulcanised rubber, reinforced only with metal",1,1,,,453,1514,1966,,890,361,11
401039,"Transmission belts or belting, of vulcanised rubber (excl. endless transmission belts of trapezoidal ...",554,569,,,6708,7063,8434,,25401,15352,1115
401212,"Retreaded pneumatic tyres, of rubber, of a kind used on buses or lorries",0,0,,,32,29,0,,49,35,54
401290,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",0,0,,,3604,2948,4770,,1128,2345,179
401610,"Articles of cellular rubber, n.e.s.",195,370,,,1873,4485,5547,,11081,14484,3815
401692,"Erasers, of vulcanised rubber (excl. hard rubber), conditioned (excl. those simply cut to rectangular ...",1,0,,,406,203,891,,461,664,105
290323,"Tetrachloroethylene ""perchloroethylene""",0,0,,,1076,1451,1213,,450,259,5
290339,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons (excluding ethylene ...",575,1050,,,7171,7578,0,,17269,40617,233
290346,"1,1,1,2,3,3,3-Heptafluoropropane ""HFC-227ea"", 1,1,1,2,2,3-hexafluoropropane ""HFC-236cb"", 1,1,1,2,3,3-hexafluoropropane ...",0,0,,,0,0,112,,0,0,48
290351,"2,3,3,3-Tetrafluoropropene ""HFO-1234yf"", 1,3,3,3-tetrafluoropropene ""HFO-1234ze"" and (Z)-1,1,1,4,4,4-hexafluoro-2-butene ...",0,0,,,,,,,0,0,73
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",0,0,,,0,0,60,,414,0,220
290389,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons (excl. 1,2,3,4,5,6-Hexachlorocyclohexane ...",0,0,,,,,,,0,0,5
290499,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated ...",0,0,,,0,0,99,,73,175,221
290514,"Butanols (excl. butan-1-ol ""n-butyl alcohol"")",195,268,,,3415,3701,4743,,635,2256,543
290516,"Octanol ""octyl alcohol"" and isomers thereof",18,65,,,1901,2086,5451,,8347,4304,
290531,"Ethylene glycol ""ethanediol""",0,4,,,16702,71672,172904,,5718,4649,21612
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,322,1007,,,6461,6585,8513,,30917,39081,3863
291412,"Butanone ""methyl ethyl ketone""",8,122,,,2491,3937,2120,,802,816,1088
291479,"Halogenated, sulphonated, nitrated or nitrosated derivatives of ketones or quinones (excl. ...",0,9,,,0,0,383,,504,222,485
291521,Acetic acid,9,128,,,5286,7194,7552,,150,606,626
291531,Ethyl acetate,166,2206,,,20134,26657,29425,,8780,16515,5284
291533,n-Butyl acetate,694,421,,,12805,14456,17376,,3291,10383,1351
440394,"Beech ""Fagus spp."" in the rough, of which no cross-sectional dimension is =>15 cm, whether ...",0,0,,,,,,,0,0,
440500,"Wood wool; wood flour ""wood powder able to pass through a fine"", 0,63 mm mesh, sieve with a ...",0,0,,,17,50,38,,33,76,2
440710,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",0,0,,,615653,839445,0,,0,0,
440722,"Virola, imbuia and balsa, sawn or chipped lengthwise, sliced or peeled, of a thickness of > ...",0,0,,,,,,,103,36,
440794,"Cherry ""Prunus spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, ...",0,0,,,0,0,61,,64,21,
521151,"Plain woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed ...",0,0,,,,,,,103,28,2
521223,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",0,0,,,30,0,0,,42,15,16
530129,"Flax, hackled or otherwise processed, but not spun (excl. broken, scutched and retted flax)",0,0,,,702,348,1239,,32,45,12
530500,"Coconut, abaca ""Manila hemp or Musa textilis Nee"", ramie, agave and other vegetable textile ...",0,0,,,3866,4516,4493,,41,8,7
540110,"Sewing thread of synthetic filaments, whether or not put up for retail sale",11,16,,,7004,12153,4440,,383,1277,382
540120,"Sewing thread of artificial filaments, whether or not put up for retail sale",1,0,,,3722,1982,1469,,100,101,52
540219,"High-tenacity filament yarn of nylon or other polyamides (excl. sewing thread, yarn put up ...",0,0,,,128,83,41,,18,241,2
540245,"Filament yarn of nylon or other polyamides, incl. monofilament of < 67 decitex, single, untwisted ...",0,0,,,3904,772,2861,,166,287,2
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,,,174589,213268,270641,,685,1953,1
540259,"Synthetic filament yarn, incl. synthetic monofilament of < 67 decitex, single, with a twist ...",0,0,,,16,360,43,,0,122,2
540262,"Multiple ""folded"" or cabled filament yarn of polyester, incl. monofilament of < 67 decitex ...",0,0,,,23776,16007,18797,,268,75,23
540342,"Multiple ""folded"" or cabled filament yarn of cellulose acetate, incl. monofilament of < 67 ...",0,0,,,0,0,0,,0,0,
540419,Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm (excl. ...,0,0,,,1833,480,980,,2958,11048,2580
540600,"Man-made filament yarn, put up for retail sale (excl. sewing thread)",0,0,,,176,131,102,,57,18,2
540769,Woven fabrics of yarn containing >= 85% by weight of mixtures of textured and non-textured ...,83,305,,,17780,39128,14638,,5043,8058,1270
540794,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",0,0,,,279,616,1430,,788,1648,1327
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",137,414,,,9684,11348,15642,,256206,130328,5925
490520,"Maps and hydrographic or similar charts of all kinds, incl. atlases and topographical plans, ...",0,0,,,,,,,0,0,2
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or ...",0,3,,,84,22,354,,481,294,3048
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...",0,0,,,25,12,34,,506,584,134
500200,"Raw silk ""non-thrown""",0,0,,,,,,,2480,2835,81
500400,Silk yarn (excl. that spun from silk waste and that put up for retail sale),0,0,,,0,13,7,,0,1,
510129,"Degreased wool, non-carbonised, neither carded nor combed (excl. shorn wool)",0,0,,,518,0,0,,316,339,387
510400,"Garnetted stock of wool or of fine or coarse animal hair, neither carded nor combed",0,0,,,,,,,1,2,
510539,"Fine animal hair, carded or combed (excl. wool and hair of Kashmir ""cashmere"" goats)",0,0,,,275,0,0,,182,1011,
510540,"Coarse animal hair, carded or combed",0,0,,,477,106,0,,263,0,1
510620,"Carded wool yarn containing predominantly, but < 85% wool by weight (excl. that put up for ...",0,0,,,499,251,649,,0,4,
520291,Garnetted stock of cotton,0,0,,,0,0,0,,183,483,71
520300,"Cotton, carded or combed",0,0,,,36,10,0,,1657,446,11
520411,"Sewing thread, containing >= 85% cotton by weight (excl. that put up for retail sale)",0,0,,,167,240,32,,236,200,7
520611,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of uncombed fibres ...",0,0,,,5364,2676,1886,,0,15,11
520642,"Multiple ""folded"" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...",0,0,,,,,,,3,0,
520831,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m², ...",0,0,,,0,289,56,,844,4063,43
521059,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,,,227,43,198,,24,192,21
521149,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,1,,,175,325,171,,677,858,45
640340,"Footwear, incorporating a protective metal toecap, with outer soles of rubber, plastics, leather ...",248,246,,,9125,8276,7692,,16401,17293,1493
550311,"Staple fibres of aramids, not carded, combed or otherwise processed for spinning",0,0,,,0,36,0,,24,21,2
550610,"Staple fibres of nylon or other polyamides, carded, combed or otherwise processed for spinning",0,0,,,385,38,0,,20,2,
550912,"Multiple ""folded"" or cabled yarn containing >= 85% nylon or other polyamide staple fibres by ...",0,0,,,69,2,0,,129,0,
550941,"Single yarn containing >= 85% synthetic staple fibres by weight (excl. sewing thread, yarn ...",0,0,,,15,0,18,,0,101,3
550992,"Yarn containing predominantly, but < 85% synthetic staple fibres by weight, mixed principally ...",0,0,,,1157,521,83,,0,0,11
551011,"Single yarn, containing >= 85% artificial staple fibres by weight (excl. sewing thread and ...",0,0,,,2285,1671,8980,,0,191,385
551221,"Woven fabrics containing >= 85% acrylic or modacrylic staple fibres by weight, unbleached or ...",0,0,,,117,63,0,,0,166,19
551291,"Woven fabrics containing >= 85% synthetic staple fibres by weight, unbleached or bleached (excl. ...",57,0,,,89,145,0,,67,36,53
551313,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,,,0,1251,8,,127,39,1
551323,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,,,178,411,185,,81,84,1
611595,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",498,818,,,499,1756,591,,23322,34381,664
620120,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",0,0,,,0,0,47,,0,0,395
620190,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",0,0,,,0,0,289,,0,0,516
620219,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",4,4,,,1,34,0,,521,783,6
440796,"Birch ""Betula spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",0,0,,,,,,,5,40,
441112,"Medium density fibreboard ""MDF"" of wood, of a thickness <= 5 mm",0,0,,,2181,1200,450,,2181,2607,106
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",1,0,,,0,0,13,,137,76,51
441249,"Laminated veneered lumber ""LVL"", with both outer plies of coniferous wood (excl. of bamboo, ...",0,0,,,,,,,0,0,3
441400,"Wooden frames for paintings, photographs, mirrors or similar objects",8,14,,,182,110,0,,1595,1698,173
441819,"Windows, French windows and their frames, of wood (excl. of tropical wood)",0,0,,,0,0,0,,0,0,40
441860,"Posts and beams, of wood",0,0,,,1623,522,0,,514,1126,112
460122,"Mats, matting and screens, of rattan plaiting materials, flat-woven or bound together in parallel",0,0,,,0,4,0,,26,8,7
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting ...",80,73,,,17,14,24,,31838,39868,167
470419,"Unbleached non-coniferous chemical wood pulp, sulphite (excl. dissolving grades)",0,0,,,,,,,0,0,4
700800,Multiple-walled insulating units of glass,818,2496,,,2570,3342,4107,,17764,28049,14338
701020,"Stoppers, lids and other closures, of glass",2,0,,,2,0,73,,317,473,42
701090,"Carboys, bottles, flasks, jars, pots, phials and other containers, of glass, of a kind used ...",3063,3037,,,20482,16555,20697,,159772,191959,203755
701341,"Glassware of lead crystal, of a kind used for table or kitchen purposes (excl. articles of ...",0,5,,,157,315,470,,2027,803,106
701590,"Clock or watch glasses and similar glasses, glasses for non-corrective spectacles, curved, ...",0,0,,,6,8,0,,143,914,22
620290,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",0,0,,,0,0,335,,0,0,491
620292,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of cotton (not ...",146,164,,,0,4,0,,1297,1387,
620312,"Men's or boys' suits of synthetic fibres (excl. knitted or crocheted, tracksuits, ski suits ...",19,2,,,206,103,350,,1547,4011,62
620423,"Women's or girls' ensembles of synthetic fibres (excl. knitted or crocheted, ski overalls and ...",17,23,,,2,204,80,,1130,511,362
620452,Women's or girls' skirts and divided skirts of cotton (excl. knitted or crocheted and petticoats),160,97,,,2,92,115,,8746,4082,311
620610,"Women's or girls' blouses, shirts and shirt-blouses of silk or silk waste (excl. knitted or ...",332,320,,,28,2,62,,3064,2397,443
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excl. knitted or crocheted ...",955,659,,,516,554,254,,14504,18677,4000
620892,"Women's or girls' singlets and other vests, briefs, panties, négligés, bathrobes, dressing ...",77,52,,,1,8,1,,1020,2213,70
621010,"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated ...",333,115,,,630,1261,886,,33668,19197,1379
621030,"Garments of the type described in heading 6202, rubberised or impregnated, coated, covered ...",0,0,,,407,144,246,,173,535,2506
621111,Men's or boys' swimwear (excl. knitted or crocheted),22,58,,,315,10,0,,1327,1994,150
621133,"Men's or boys' tracksuits and other garments, n.e.s. of man-made fibres (excl. knitted or ...",74,118,,,4871,6539,9436,,20406,20540,473
621220,"Girdles and panty girdles of all types of textile materials, whether or not elasticated, incl. ...",12,4,,,102,33,7,,291,235,12
621420,"Shawls, scarves, mufflers, mantillas, veils and similar articles of wool or fine animal hair ...",2,1,,,10,49,12,,3854,4147,326
630229,"Printed bedlinen of textile materials (excl. cotton and man-made fibres, knitted or crocheted)",8,0,,,1646,2055,1277,,1369,2150,216
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excl. ...",33,52,,,1420,2356,1672,,7339,9229,663
630392,"Curtains, incl. drapes, and interior blinds, curtain or bed valances of synthetic fibres (excl. ...",6,4,,,397,174,126,,8885,9387,650
630499,"Articles for interior furnishing, of textile materials (excl. of cotton or synthetic fibres, ...",2,1,,,598,263,233,,4777,3992,1158
650400,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not ...",163,142,,,37,124,99,,6500,7530,105
650691,"Bathing caps, hoods and other headgear, whether or not lined or trimmed, of rubber or plastics ...",1,7,,,174,149,124,,519,846,97
660199,"Umbrellas and sun umbrellas, incl. walking-stick umbrellas (excl. umbrellas having a telescopic ...",1,95,,,298,357,275,,845,816,1171
660200,"Walking sticks, seat-sticks, whips, riding-crops and the like (excl. measure walking sticks, ...",0,0,,,52,61,196,,141,402,11
670300,"Human hair, dressed, thinned, bleached or otherwise worked; wool, other animal hair or other ...",7,0,,,188,160,26,,479,81,120
670411,Complete wigs of synthetic textile materials,1,0,,,3,16,11,,257,67,38
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",0,1,,,4145,5058,6290,,25307,40348,3187
680293,"Granite, in any form, polished, decorated or otherwise worked (excl. tiles, cubes and similar ...",0,21,,,17636,27470,4873,,648,1044,2512
680430,Hand sharpening or polishing stones,2,5,,,685,1172,1206,,157,193,51
680510,"Natural or artificial abrasive powder or grain, on a base of woven textile fabric only, whether ...",8,1,,,5947,7548,7085,,1573,1882,70
681011,"Building blocks and bricks of cement, concrete or artificial stone, whether or not reinforced",0,0,,,2,739,268,,11865,18882,1976
681091,"Prefabricated structural components for building or civil engineering of cement, concrete or ...",0,8,,,146,982,825,,16847,3768,1181
681189,"Articles of cellulose fibre-cement or the like, not containing asbestos (excl. corrugated and ...",0,0,,,777,90,0,,5849,3991,738
681511,Carbon fibres,0,0,,,0,0,5,,0,0,1107
690100,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",0,0,,,41,67,819,,2541,2003,362
690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods containing, ...",9,1520,,,4051,7975,13162,,1482,4378,2296
701962,"Closed fabrics of rovings of glass fibres, mechanically bonded (excl. woven)",0,0,,,0,0,47,,0,0,14
702000,"Articles of glass, n.e.s.",34,46,,,2920,3281,2216,,2752,3184,932
710310,"Precious stones and semi-precious stones, unworked or simply sawn or roughly shaped, whether ...",0,0,,,0,35,20,,12090,57118,45623
710399,"Precious and semi-precious stones, worked, whether or not graded, but not strung, mounted or ...",21,87,,,50,141,7,,27365,36274,37396
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",1,1,,,49,237,0,,196432,177290,
710811,"Gold, incl. gold plated with platinum, for non-monetary purposes",0,979,,,0,1,8,,100139,13063,25968
711019,"Platinum, in semi-manufactured forms",0,0,,,9,56,0,,21,370,1184718
711790,"Imitation jewellery (excl. jewellery, of base metal, whether or not clad with silver, gold ...",45,51,,,3120,4368,4316,,10342,13750,1643
720219,"Ferro-manganese, containing by weight <= 2% carbon",0,0,,,7678,14805,26181,,161,748,
720221,"Ferro-silicon, containing by weight > 55% of silicon",0,0,,,8430,7035,22498,,2466,1815,11592
720230,Ferro-silico-manganese,0,0,,,61539,92163,177030,,1088,307,891
720250,Ferro-silico-chromium,0,0,,,414,270,388,,0,0,
720292,Ferro-vanadium,0,0,,,277,3163,3963,,717,973,2973
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",0,0,,,5,52716,49633,,40128,145332,9938
720421,"Waste and scrap of stainless steel (excl. radioactive, and waste and scrap of batteries and ...",0,0,,,0,2,0,,230582,315111,253010
720441,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings of iron ...",0,0,,,118,834,68532,,6849,41616,62885
720690,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ...",15,7,,,635,432,213,,378,2619,125
720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,,,,,,,405,1,241829
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,,,208657,148084,112025,,8395,17409,13777
811020,Antimony waste and scrap (excl. ash and residues containing antimony),0,0,,,,,,,0,0,
811219,"Articles of beryllium, n.e.s.",0,0,,,,,,,0,0,1
811259,"Articles of thallium, n.e.s.",0,0,,,,,,,1,0,
690990,"Ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, ...",1,14,,,667,94,37,,334,331,207
691010,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",10,8,,,929,1759,857,,59091,69534,45112
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",16,2,,,188,779,1653,,11576,17688,17906
691110,"Tableware and kitchenware, of porcelain or china (excl. ornamental articles, pots, jars, carboys ...",3198,2920,,,21993,28347,19634,,60552,64259,39743
731822,Washers of iron or steel (excl. spring washers and other lock washers),121,71,,,4174,3080,3839,,5460,4984,2007
731824,"Cotters and cotter pins, of iron or steel",61,49,,,3012,6974,2104,,3142,2781,493
732020,"Helical springs, of iron or steel (excl. flat spiral springs, clock and watch springs, springs ...",105,135,,,2803,2927,2542,,6500,6326,609
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excl. helical ...",78,53,,,3561,4032,2964,,5243,4474,800
732119,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of ...",64,3,,,14,89,353,,1773,967,179
732310,"Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron ...",1,0,,,63,37,7,,2576,3183,287
732410,"Sinks and washbasins, of stainless steel",1,13,,,7131,9308,3936,,3570,4014,3576
740100,"Copper mattes; cement copper ""precipitated copper""",0,0,,,,,,,127,0,
740200,"Copper, unrefined; copper anodes for electrolytic refining",0,0,,,100,50,20,,286,25,29671
740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,0,,,391300,750244,811026,,6385,19826,102980
740312,"Copper, refined, in the form of wire-bars",13,212,,,4,0,306,,817,3604,186
741510,"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron ...",0,0,,,55,121,58,,98,100,157
750110,Nickel mattes,0,0,,,,,,,0,0,
750210,"Nickel, not alloyed, unwrought",0,0,,,5709,5755,5421,,12369,538906,61104
750610,"Plates, sheets, strip and foil, of non-alloy nickel (excl. expanded plates, sheets or strip)",0,0,,,404,140,146,,98,2185,31
811300,"Cermets and articles thereof, n.e.s.; waste and scrap of cermets (excl. ash and residues containing ...",23,25,,,702,445,73,,539,723,201
820130,"Mattocks, picks, hoes and rakes, with working parts of base metal (excl. ice axes)",0,0,,,341,346,567,,408,591,1890
820510,"Hand-operated drilling, threading or tapping hand tools",317,54,,,377,355,236,,3267,4086,1610
820790,"Interchangeable tools for hand tools, whether or not power-operated, or for machine tools, ...",41,260,,,5028,4405,5166,,7669,10744,5939
821599,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and ...",42,3,,,423,739,743,,5395,5608,650
830120,"Locks used for motor vehicles, of base metal",52,11,,,2111,2312,2220,,7931,6396,485
830150,"Clasps and frames with clasps, incorporating locks, of base metal",21,98,,,242,151,442,,680,470,55
830241,Base metal mountings and fittings suitable for buildings (excl. locks with keys and hinges),787,519,,,23017,33717,28842,,44802,48239,3818
830629,"Statuettes and other ornaments, of base metal, not plated with precious metal (excl. works ...",19,55,,,716,970,1598,,10129,55169,473
830630,"Photograph, picture or similar frames, of base metal; mirrors of base metal (excl. optical ...",38,348,,,49,84,63,,738,1556,207
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",179,494,,,6896,5331,560,,17377,31114,629
840110,Nuclear reactors [Euratom],0,0,,,,,,,0,0,17
840390,"Parts of central heating boilers, n.e.s.",0,1,,,4,92,50,,278,765,1746
840820,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"", for ...",47,37,,,30141,29065,53458,,14527,21729,18495
