company name,contact number,area,company description
"Группа Компаний ""Lift-import""",7 495 640-74-01·,"Ulitsa Vereyskaya, д. 17",Import export company
Rus Export-Import Inc,1 754-209-8828,"8th, Krylatskaya Ulitsa",Import export company
Pauline imports,,"Ryabinovaya Ulitsa, 26, стр. 2",Corporate office
Rus Eksport-Import,7 495 118-03-72·,"Krylatskaya Ulitsa, 8",Auto machine shop
ast import,7 499 390-00-56,"Ulitsa Kulakova, 20 стр. 1а",Store
"PARTSIMPORT, магазин автомотозапчастей",7 926 111-30-20·,"Ulitsa Ivana Franko, 10",Auto parts store
Import Logistic,7 495 203-68-80,"Bol'shaya Ochakovskaya Ulitsa, 47Ас1",Logistics service
PORT-IMPORT,7 495 120-15-34·,"дом МКАД, 69-й км, переулок Вокзальный, 6",Transportation service
Asent-Import,7 495 766-13-30·,"Одинцовский район, поселок городского типа Большие Вяземы, Yamskaya Ulitsa, 9",Importer
Ekspress-Import,7 495 648-08-32·,"Mitinskaya Ulitsa, 16",Transportation service
Vkh Import Kampani,,,·
Ekspress-Import,7 495 505-08-43⋅,"Stroitel'nyy Proyezd, 7Ак28",Moving company
Avto Import,7 495 795-45-40,"Ulitsa Vasiliya Petushkova, 3, стр. 1",Car manufacturer
"Kafel'import, Optovaya Kompaniya",7 967 166-60-29·,"Ryabinovaya Ulitsa, 55",Cash and carry wholesaler
Import Partner,,,·
Too Import-Eksport-Dostavka,7 925 675-52-52,"prospekti Vernadskogo, 29",Import export company
Vanford Import Export Inc.,7 495 787-01-28,"Volokolamskoye Shosse, 93A",Plumbing supply store
Import Oyl Grupp,7 495 380-28-44·,"Ryabinovaya Ulitsa, 28А строение 1",Auto chemistry shop
k&p import export,,"Zhivopisnaya Ulitsa, д.24",Corporate office
"Kafel'import, Optovaya Kompaniya",7 925 907-18-97,·,·
Avestra Eksport,7 495 357-20-00,"Ochakovskoye Shosse, 34",Import export company
Vedlayt,,#ERROR!,Import export company
Asia Import Group,7 800 707-74-88,"ул. Горбунова. 2, стр. 3, Гранд Сетунь Плаза офис А227",Air filter supplier
ООО «Импульс»,7 495 196-40-66,"Marshala Timoshenko Ulitsa, д. 17/2",Import export company
QUANTUM ASIA,,"Molodozhnaya Ulitsa, д.48",Import export company
"Ooo ""Bork-Import""",7 800 500-88-99·,"поселение Московский, квартал 32, вл.17А, стр.1 этаж 3, помещение 104",Corporate office
N'yu Market Konnekshenz,7 499 653-54-45,"Proyektiruyemyy Proyezd 1980-Y, 4",Import export company
Kamen'-Import,,#ERROR!,Granite supplier
Avtoskay Import,,#ERROR!,·
Leksius Import,7 926 228-38-86·,"Mozhayskoye Shosse, 122",Auto parts store
Rennsport Imports,7 495 374-88-31,"Isakovskogo Ulitsa, д.33, корп. 6",Store
Tdg24.Ru,7 495 240-51-46,"д.Румянцево, Киевское шоссе, д.1, БП ""Румянцево"", строение 1,корпус А подъезд 8, 7 этаж офис 736А",Import export company
Optima Import,7 495 221-25-95,"Marshala Proshlyakova Ulitsa, 30",Corporate office
"Ooo ""Import Partner""",,"Transportnaya Ulitsa, дом 2",Transportation service
Reté home,7 495 255-77-00·,"Shelepikhinskaya Naberezhnaya, 34",Furniture store
Stroi Import,,"Ulitsa Vereyskaya, 29 строение 147",Window supplier
Beerimport,,"Ulitsa Barklaya, 10",Beer store
BUREAU IMPORT,,#ERROR!,·
Peresvet-Avto,,"Ulitsa Tvardovskogo, 8 корпус 1",Import export company
Parts Import,,"Sergeya Makeeva St, 6",Auto parts store
Istlaynseven,7 495 740-67-47·,"г. Москва, ш. Киевское, 22 км., домовладение 4, строение 5 Этаж 6, блок Е офис 621Е",Import export company
Rus Export-Import Inc,7 495 118-03-72,"Inn Hotel, apt. 1017 city Park",Import export company
Mb-Import,,"Ulitsa Bekhtereva, 43",Store
Dilyaver,7 495 585-13-07·,"Zheleznodorozhnaya Ulitsa, 24",Import export company
LLC “BURHAN RUS”,,"8th floor, off. 802, Staropetrovskiy Proyezd, 7A, p. 6",Import export company
Triton-Import,7 499 322-23-53·,"ул. Кржижановского, 3",Auto repair shop
